dataset,version,metric,mode,high-energy-2b
planet_qa,359d58,rouge1,gen,22.04
planet_qa,359d58,rouge2,gen,8.29
planet_qa,359d58,rougeL,gen,18.19
planet_qa,359d58,rougeLsum,gen,20.07
astrochemistry_qa,359d58,rouge1,gen,39.78
astrochemistry_qa,359d58,rouge2,gen,17.45
astrochemistry_qa,359d58,rougeL,gen,25.77
astrochemistry_qa,359d58,rougeLsum,gen,26.75
astrometry_qa,359d58,rouge1,gen,21.41
astrometry_qa,359d58,rouge2,gen,9.22
astrometry_qa,359d58,rougeL,gen,16.20
astrometry_qa,359d58,rougeLsum,gen,16.40
cosmology_qa,359d58,rouge1,gen,38.29
cosmology_qa,359d58,rouge2,gen,16.65
cosmology_qa,359d58,rougeL,gen,26.25
cosmology_qa,359d58,rougeLsum,gen,28.69
galaxy_qa,359d58,rouge1,gen,27.07
galaxy_qa,359d58,rouge2,gen,12.99
galaxy_qa,359d58,rougeL,gen,23.72
galaxy_qa,359d58,rougeLsum,gen,24.04
gaoneng_qa,359d58,rouge1,gen,35.78
gaoneng_qa,359d58,rouge2,gen,22.94
gaoneng_qa,359d58,rougeL,gen,32.66
gaoneng_qa,359d58,rougeLsum,gen,32.80
hengxing_qa,359d58,rouge1,gen,18.56
hengxing_qa,359d58,rouge2,gen,9.45
hengxing_qa,359d58,rougeL,gen,14.89
hengxing_qa,359d58,rougeLsum,gen,14.94
radio_qa,359d58,rouge1,gen,34.66
radio_qa,359d58,rouge2,gen,15.26
radio_qa,359d58,rougeL,gen,26.17
radio_qa,359d58,rougeLsum,gen,26.35
solar_qa,359d58,rouge1,gen,22.40
solar_qa,359d58,rouge2,gen,10.18
solar_qa,359d58,rougeL,gen,18.00
solar_qa,359d58,rougeLsum,gen,18.28
astrometry_mcq,-,-,-,-
cosmology_mcq,-,-,-,-
galaxy_mcq,-,-,-,-
gaoneng_mcq,-,-,-,-
hengxing_mcq,-,-,-,-
radio_mcq,-,-,-,-
solar_mcq,-,-,-,-
