dataset,version,metric,mode,high-energy-2b
agieval-gaokao-chinese,774562,accuracy,gen,18.70
agieval-gaokao-english,cb5bc6,accuracy,gen,27.12
agieval-gaokao-geography,2ca56f,accuracy,gen,23.12
agieval-gaokao-history,9c3ae0,accuracy,gen,22.98
agieval-gaokao-biology,277c85,accuracy,gen,21.43
agieval-gaokao-chemistry,d62fd4,accuracy,gen,27.54
agieval-gaokao-mathqa,e2ea74,accuracy,gen,27.92
agieval-logiqa-zh,03474d,accuracy,gen,25.19
agieval-lsat-ar,ed1edf,accuracy,gen,17.39
agieval-lsat-lr,ec6882,accuracy,gen,16.47
agieval-lsat-rc,33077d,accuracy,gen,17.47
agieval-logiqa-en,c6ee60,accuracy,gen,17.82
agieval-sat-math,6c970d,accuracy,gen,28.18
agieval-sat-en,4e3fef,accuracy,gen,21.36
agieval-sat-en-without-passage,4e3fef,accuracy,gen,27.18
agieval-aqua-rat,c090ca,accuracy,gen,17.32
agieval-gaokao-physics,7704e3,accuracy,gen,22.50
agieval-jec-qa-kd,b1e586,accuracy,gen,11.70
agieval-jec-qa-ca,47bc29,accuracy,gen,10.70
agieval-gaokao-mathcloze,b2c3c3,score,gen,0.85
agieval-math,e0c6d9,score,gen,1.40
medqa_en,-,-,-,-
lukaemon_mmlu_college_biology,caec7d,accuracy,gen,23.61
lukaemon_mmlu_college_chemistry,520aa6,accuracy,gen,23.00
lukaemon_mmlu_college_computer_science,99c216,accuracy,gen,19.00
lukaemon_mmlu_college_mathematics,678751,accuracy,gen,27.00
lukaemon_mmlu_college_physics,4f382c,accuracy,gen,28.43
lukaemon_mmlu_electrical_engineering,770ce3,accuracy,gen,22.07
lukaemon_mmlu_astronomy,d3ee01,accuracy,gen,27.63
lukaemon_mmlu_anatomy,72183b,accuracy,gen,23.70
lukaemon_mmlu_abstract_algebra,2db373,accuracy,gen,20.00
lukaemon_mmlu_machine_learning,0283bb,accuracy,gen,31.25
lukaemon_mmlu_clinical_knowledge,cb3218,accuracy,gen,31.32
lukaemon_mmlu_global_facts,ab07b6,accuracy,gen,27.00
lukaemon_mmlu_management,80876d,accuracy,gen,23.30
lukaemon_mmlu_nutrition,4543bd,accuracy,gen,29.74
lukaemon_mmlu_marketing,7394e3,accuracy,gen,26.07
lukaemon_mmlu_professional_accounting,444b7f,accuracy,gen,24.82
lukaemon_mmlu_high_school_geography,0780e6,accuracy,gen,28.28
lukaemon_mmlu_international_law,cf3179,accuracy,gen,26.45
lukaemon_mmlu_moral_scenarios,f6dbe2,accuracy,gen,22.91
lukaemon_mmlu_computer_security,ce7550,accuracy,gen,19.00
lukaemon_mmlu_high_school_microeconomics,04d21a,accuracy,gen,24.79
lukaemon_mmlu_professional_law,5f7e6c,accuracy,gen,25.10
lukaemon_mmlu_medical_genetics,881ef5,accuracy,gen,33.00
lukaemon_mmlu_professional_psychology,221a16,accuracy,gen,25.33
lukaemon_mmlu_jurisprudence,001f24,accuracy,gen,25.00
lukaemon_mmlu_world_religions,232c09,accuracy,gen,27.49
lukaemon_mmlu_philosophy,08042b,accuracy,gen,20.90
lukaemon_mmlu_virology,12e270,accuracy,gen,24.70
lukaemon_mmlu_high_school_chemistry,ae8820,accuracy,gen,28.08
lukaemon_mmlu_public_relations,e7d39b,accuracy,gen,27.27
lukaemon_mmlu_high_school_macroeconomics,a01685,accuracy,gen,26.41
lukaemon_mmlu_human_sexuality,42407c,accuracy,gen,26.72
lukaemon_mmlu_elementary_mathematics,269926,accuracy,gen,23.81
